datetime,open,high,low,close,volume
2023-04-04 04:00:00,20.405,20.452,20.32,20.32,253526
2023-04-04 05:00:00,20.321,20.435,20.311,20.382,265499
2023-04-04 06:00:00,20.383,20.625,20.377,20.587,427286
2023-04-04 07:00:00,20.586,20.633,20.488,20.515,437299
2023-04-04 08:00:00,20.517,20.666,20.455,20.594,431719
2023-04-04 09:00:00,20.594,20.654,20.55,20.643,346553
2023-04-04 10:00:00,20.642,20.757,20.608,20.689,509936
2023-04-04 11:00:00,20.688,21.006,20.65,20.967,1570685
2023-04-04 12:00:00,20.967,21.269,20.957,21.042,1299874
2023-04-04 13:00:00,21.042,21.136,20.775,20.833,990524
2023-04-04 14:00:00,20.834,21.075,20.83,20.944,698165
2023-04-04 15:00:00,20.943,20.995,20.664,20.851,868782
2023-04-04 16:00:00,20.85,20.892,20.743,20.851,401786
2023-04-04 17:00:00,20.85,21.004,20.825,20.985,528005
2023-04-04 18:00:00,20.985,21.007,20.806,20.853,381996
2023-04-04 19:00:00,20.852,20.95,20.839,20.941,316992
2023-04-04 20:00:00,20.941,21.084,20.938,21.024,408863
2023-04-04 21:00:00,21.025,21.043,20.916,20.979,310366
2023-04-04 22:00:00,20.98,21.061,20.913,20.94,287933
2023-04-04 23:00:00,20.94,20.988,20.808,20.905,318312
2023-04-05 00:00:00,20.904,21.34,20.82,21.265,1097074
2023-04-05 01:00:00,21.265,21.331,21.166,21.175,701475
2023-04-05 02:00:00,21.176,21.3,21.09,21.12,501767
2023-04-05 03:00:00,21.121,21.163,21.035,21.131,387847
2023-04-05 04:00:00,21.129,21.176,21.106,21.126,238935
2023-04-05 05:00:00,21.126,21.243,21.105,21.231,269777
2023-04-05 06:00:00,21.231,21.3,21.183,21.216,432252
2023-04-05 07:00:00,21.217,21.259,21.117,21.187,362477
2023-04-05 08:00:00,21.188,21.256,21.068,21.221,413923
2023-04-05 09:00:00,21.22,21.275,21.165,21.17,257716
2023-04-05 10:00:00,21.169,21.212,21.132,21.16,231647
2023-04-05 11:00:00,21.162,21.216,21.116,21.182,272035
2023-04-05 12:00:00,21.183,21.247,20.842,21.105,1419632
2023-04-05 13:00:00,21.105,21.113,20.87,20.992,757179
2023-04-05 14:00:00,20.992,21.04,20.678,20.796,1280781
2023-04-05 15:00:00,20.796,20.875,20.532,20.793,1374783
2023-04-05 16:00:00,20.794,20.821,20.625,20.665,615189
